s.no,Country,Overall Score,Affordability,Availability,Quality & safety
1,Singapore,87.4,95.4,83,79.4
2,Ireland,84,90.5,76.8,87.7
3,United States,83.7,87.4,78.3,89.1
4,Switzerland,83.1,83.8,84.3,78.2
5,Finland,82.9,84.1,78.6,91.8
6,Norway,82.9,81.9,81,90.5
7,Sweden,82.7,85,78.1,89.4
8,Canada,82.4,83.3,80,86.7
9,Australia,82,85.6,76.2,88.9
10,Austria,81.7,85.4,78.6,81.1
11,Germany,81.5,84.9,79.1,79.8
12,Netherlands,81.4,86.6,77.1,79.9
13,Qatar,81.2,98.9,64,84.1
14,Denmark,81,85.4,74.8,87.2
15,Belgium,80.7,84.4,76.2,83.9
16,France,80.4,83.8,74.8,87.1
17,United Kingdom,79.1,83.6,74.4,80.9
18,Israel,79,83,73.6,83.8
19,New Zealand,78.8,84.6,75.5,73.5
20,Portugal,77.8,81.3,70.9,88
21,Japan,76.5,82.4,71,76.7
22,United Arab Emirates,76.5,89.8,63.7,78.5
23,Italy,75.8,82.5,68.3,79.7
24,Poland,75.6,81.1,69.3,79.5
25,Chile,75.5,80.5,71.3,74.7
26,Spain,75.5,82.3,65.9,84.7
27,Kuwait,74.8,88.1,62.3,75.9
28,Malaysia,73.8,81.7,67.7,70.6
29,South Korea,73.6,75.8,71.2,74.9
30,Saudi Arabia,73.5,86.3,61.8,73.5
31,Greece,73.4,77.8,64.9,86
32,Czech Republic,73.1,82.6,66.3,68.1
33,Uruguay,72.8,79.3,66.7,73.3
34,Hungary,72.7,80.8,66.1,70.5
35,China,71,74.8,66.9,72.6
36,Belarus,70.9,76,62.9,80.2
37,Argentina,70.8,78.9,60.2,79.5
38,Romania,70.2,79.3,64.3,64.1
39,Brazil,70.1,77,58.8,84
40,Costa Rica,70.1,75.6,63.1,75.6
41,Turkey,69.8,74.7,64.8,71.1
42,Russia,69.7,79.8,60.1,70.9
43,Colombia,69.4,73.7,65.6,69.3
44,Mexico,69.4,74.9,62.3,75.2
45,Panama,68.8,73.8,63.1,71.8
46,Oman,68.4,77.8,57.6,74.4
47,Slovakia,68.3,78.6,62.1,59.4
48,Kazakhstan,67.3,77.5,57.7,68.3
49,South Africa,67.3,70.8,64.5,66.2
50,Bahrain,66.6,81.9,56.3,56.9
51,Bulgaria,66.2,79,54.2,66.8
52,Thailand,65.1,77.1,58.7,52.6
53,Azerbaijan,64.8,75.3,59.2,54
54,Vietnam,64.6,75.1,59.7,51.7
55,Egypt,64.5,57.6,70.2,65.9
56,Dominican Republic,64.2,68.4,61,62.3
57,Botswana,63.8,69.5,61.3,56.6
58,Peru,63.3,69.1,59,60.4
59,Ghana,62.8,66.3,61.7,57.1
60,Morocco,62.8,61.5,64.2,61.9
61,Serbia,62.8,73.9,53,61.8
62,Indonesia,62.6,70.4,61.3,47.1
63,Ecuador,61.8,69.4,56.1,58.4
64,Jordan,61,70.5,54.8,54.2
65,Philippines,61,68.9,57.7,50.3
66,Sri Lanka,60.8,65,60,52.4
67,El Salvador,60.7,63.8,58.6,58.9
68,Guatemala,60.6,65.3,57.6,57.5
69,Tunisia,60.1,61.5,58,62.2
70,Algeria,59.8,66.9,55.8,53
71,Uzbekistan,59,65.6,55.1,53.4
72,India,58.9,64.2,58.4,47
73,Honduras,58,57.2,57.8,60.6
74,Paraguay,57.9,72,42.4,65.4
75,Bolivia,57.7,65.8,50,58.3
76,Ukraine,57.1,63.9,50,59.6
77,Myanmar,57,59.1,57.2,51.3
78,Pakistan,56.8,63.2,55.7,43.6
79,Nepal,56.4,58.5,55.4,53.7
80,Mali,54.4,45.9,60.1,59.9
81,Senegal,54.3,51.6,56.1,56.1
82,Nicaragua,54.2,63.5,47.9,48.2
83,Bangladesh,53.2,60.4,54.8,30.6
84,Côte d'Ivoire,52.3,53.5,58.1,33.1
85,Benin,51,48.6,54.9,46.4
86,Kenya,50.7,56.7,48,43.2
87,Burkina Faso,50.1,47,55.9,41.6
88,Cameroon,49.9,53.7,47.6,47
89,Niger,49.6,50.2,53.6,37.4
90,Cambodia,49.4,56.7,48.1,34.6
91,Ethiopia,49.2,49.7,52.6,39
92,Laos,49.1,55.5,47.6,37.4
93,Tajikistan,49,58.8,41.1,46.6
94,Nigeria,48.4,50.4,45.8,50.7
95,Rwanda,48.2,43.8,52,48.5
96,Tanzania,47.6,45.1,50.4,45.9
97,Guinea,46.7,47.4,52.4,29
98,Uganda,46.2,45.8,45.5,49.1
99,Sudan,45.7,47.1,44.4,46
100,Angola,45.5,51.3,40.5,44.9
101,Zambia,44.4,41.8,50.7,33.6
102,Togo,44,45.6,47.2,31
103,Haiti,43.3,50.3,39.6,35.9
104,Malawi,42.5,39.4,48.6,33.1
105,Mozambique,41.4,42.5,47.9,20.6
106,Sierra Leone,39,40.8,40.3,30.6
107,Syria,38.4,34.6,38.9,46.4
108,Madagascar,37.9,35.7,45.7,22.1
109,Chad,36.9,40.3,34.9,33.5
110,Congo (Dem. Rep.),35.7,37.3,40,19.8
111,Yemen,35.6,45.5,28.6,30.2
112,Burundi,34.3,36.6,32.2,34.5
113,Venezuela,31.2,15.8,32.2,66.9
